"filename", "language", "Dotenv", "JSON", "JavaScript", "HTML", "PostCSS", "Markdown", "JavaScript JSX", "SVG", "TypeScript", "comment", "blank", "total"
"d:\work2026\floor\.env", "Dotenv", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\work2026\floor\.eslintrc.cjs", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\work2026\floor\README.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"d:\work2026\floor\createWorkerAccounts.js", "JavaScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 10, 22, 133
"d:\work2026\floor\index.css", "PostCSS", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"d:\work2026\floor\index.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"d:\work2026\floor\package-lock.json", "JSON", 0, 5878, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5879
"d:\work2026\floor\package.json", "JSON", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"d:\work2026\floor\public\Flooring.Boss.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\work2026\floor\public\Flooring.Boss3.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\work2026\floor\public\untitled.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 44
"d:\work2026\floor\src\Pages\AddressDetailsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 1097, 0, 0, 18, 71, 1186
"d:\work2026\floor\src\Pages\AddressDetailsPage.module.css", "PostCSS", 0, 0, 0, 0, 427, 0, 0, 0, 0, 8, 57, 492
"d:\work2026\floor\src\Pages\AddressListPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 880, 0, 0, 2, 78, 960
"d:\work2026\floor\src\Pages\AddressListPage.module.css", "PostCSS", 0, 0, 0, 0, 298, 0, 0, 0, 0, 9, 47, 354
"d:\work2026\floor\src\Pages\AdminPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 6, 8, 110
"d:\work2026\floor\src\Pages\AdminPage.module.css", "PostCSS", 0, 0, 0, 0, 145, 0, 0, 0, 0, 4, 29, 178
"d:\work2026\floor\src\Pages\CalendarPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 470, 0, 0, 2, 52, 524
"d:\work2026\floor\src\Pages\CalendarPage.module.css", "PostCSS", 0, 0, 0, 0, 390, 0, 0, 0, 0, 21, 62, 473
"d:\work2026\floor\src\Pages\CompanyListPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 10, 99
"d:\work2026\floor\src\Pages\CompanyListPage.module.css", "PostCSS", 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 7, 57
"d:\work2026\floor\src\Pages\CompanyTablesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 185, 0, 0, 1, 20, 206
"d:\work2026\floor\src\Pages\CompanyTablesPage.module.css", "PostCSS", 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 14, 165
"d:\work2026\floor\src\Pages\DashboardPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 111, 0, 0, 1, 9, 121
"d:\work2026\floor\src\Pages\DashboardPage.module.css", "PostCSS", 0, 0, 0, 0, 55, 0, 0, 0, 0, 5, 11, 71
"d:\work2026\floor\src\Pages\InactiveCompaniesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 1, 9, 75
"d:\work2026\floor\src\Pages\InactiveWorkersPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 9, 93
"d:\work2026\floor\src\Pages\InactiveWorkersPage.module.css", "PostCSS", 0, 0, 0, 0, 64, 0, 0, 0, 0, 2, 10, 76
"d:\work2026\floor\src\Pages\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 146, 0, 0, 3, 17, 166
"d:\work2026\floor\src\Pages\LoginPage.module.css", "PostCSS", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 13, 92
"d:\work2026\floor\src\Pages\PersonPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 212, 0, 0, 2, 20, 234
"d:\work2026\floor\src\Pages\PersonPage.module.css", "PostCSS", 0, 0, 0, 0, 197, 0, 0, 0, 0, 2, 26, 225
"d:\work2026\floor\src\Pages\PersonTableDetailsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 502, 0, 0, 8, 42, 552
"d:\work2026\floor\src\Pages\PersonTableDetailsPage.module.css", "PostCSS", 0, 0, 0, 0, 253, 0, 0, 0, 0, 5, 28, 286
"d:\work2026\floor\src\Pages\RegisterPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 185, 0, 0, 1, 12, 198
"d:\work2026\floor\src\Pages\StoreInvoiceDetailsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 347, 0, 0, 8, 37, 392
"d:\work2026\floor\src\Pages\StoreInvoiceDetailsPage.module.css", "PostCSS", 0, 0, 0, 0, 197, 0, 0, 0, 0, 2, 30, 229
"d:\work2026\floor\src\Pages\StoreInvoicesListPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 8, 85
"d:\work2026\floor\src\Pages\StoreInvoicesListPage.module.css", "PostCSS", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 13, 101
"d:\work2026\floor\src\Pages\TableDetailsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 329, 0, 0, 1, 26, 356
"d:\work2026\floor\src\Pages\TableDetailsPage.module.css", "PostCSS", 0, 0, 0, 0, 129, 0, 0, 0, 0, 2, 22, 153
"d:\work2026\floor\src\Pages\TablePage.module.css", "PostCSS", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 12, 100
"d:\work2026\floor\src\Pages\WorkerPortal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 973, 0, 0, 3, 83, 1059
"d:\work2026\floor\src\Pages\WorkerPortal.module.css", "PostCSS", 0, 0, 0, 0, 724, 0, 0, 0, 0, 17, 99, 840
"d:\work2026\floor\src\components\AddCompanyForm\AddCompanyForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 1, 12, 80
"d:\work2026\floor\src\components\AddressFilter\AddressFilter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
"d:\work2026\floor\src\components\AddressFilter\AddressFilter.module.css", "PostCSS", 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 5, 40
"d:\work2026\floor\src\components\AddressHistory\AddressHistory.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 54, 4, 69
"d:\work2026\floor\src\components\AddressHistory\AddressHistory.module.css", "PostCSS", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 45
"d:\work2026\floor\src\components\AddressSection\AddressSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\work2026\floor\src\components\AddressSection\AddressSection.module.css", "PostCSS", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"d:\work2026\floor\src\components\AdminListManager\AdminListManager.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 13, 109
"d:\work2026\floor\src\components\AdminListManager\AdminListManager.module.css", "PostCSS", 0, 0, 0, 0, 70, 0, 0, 0, 0, 3, 11, 84
"d:\work2026\floor\src\components\App\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 245, 0, 0, 7, 10, 262
"d:\work2026\floor\src\components\App\App.module.css", "PostCSS", 0, 0, 0, 0, 240, 0, 0, 0, 0, 8, 36, 284
"d:\work2026\floor\src\components\AutocompleteInput\AutocompleteInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 1, 11, 84
"d:\work2026\floor\src\components\AutocompleteInput\AutocompleteInput.module.css", "PostCSS", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 9, 81
"d:\work2026\floor\src\components\CompanyList\CompanyList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 0, 1, 9, 96
"d:\work2026\floor\src\components\CompanyList\CompanyList.module.css", "PostCSS", 0, 0, 0, 0, 97, 0, 0, 0, 0, 1, 11, 109
"d:\work2026\floor\src\components\CompanySection\CompanySection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\work2026\floor\src\components\CreateCompanyForm\CreateCompanyForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 1, 8, 62
"d:\work2026\floor\src\components\CreateCompanyForm\CreateCompanyForm.module.css", "PostCSS", 0, 0, 0, 0, 52, 0, 0, 0, 0, 1, 8, 61
"d:\work2026\floor\src\components\CreatePersonForm\CreatePersonForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 4, 11, 69
"d:\work2026\floor\src\components\CreatePersonForm\CreatePersonForm.module.css", "PostCSS", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"d:\work2026\floor\src\components\CreateTableForm\CreateTableForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 5, 37
"d:\work2026\floor\src\components\CreateTableForm\CreateTableForm.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\work2026\floor\src\components\EmptyState\EmptyState.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 3, 16
"d:\work2026\floor\src\components\EmptyState\EmptyState.module.css", "PostCSS", 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 3, 21
"d:\work2026\floor\src\components\FileUpload\FileUpload.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 4, 9, 53
"d:\work2026\floor\src\components\FileUpload\FileUpload.module.css", "PostCSS", 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 5, 32
"d:\work2026\floor\src\components\Header\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 272, 0, 0, 10, 27, 309
"d:\work2026\floor\src\components\Header\Header.module.css", "PostCSS", 0, 0, 0, 0, 442, 0, 0, 0, 0, 8, 73, 523
"d:\work2026\floor\src\components\InvoiceDetailsModal\InvoiceDetailsModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 5, 29
"d:\work2026\floor\src\components\InvoiceDetailsModal\InvoiceDetailsModal.module.css", "PostCSS", 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 9, 66
"d:\work2026\floor\src\components\InvoiceList\InvoiceList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 3, 33
"d:\work2026\floor\src\components\InvoiceList\InvoiceList.module.css", "PostCSS", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 6, 36
"d:\work2026\floor\src\components\LoginModal\LoginModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 3, 13, 103
"d:\work2026\floor\src\components\LoginModal\LoginModal.module.css", "PostCSS", 0, 0, 0, 0, 73, 0, 0, 0, 0, 1, 13, 87
"d:\work2026\floor\src\components\MaterialsManager\MaterialsManager.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 127, 0, 0, 1, 17, 145
"d:\work2026\floor\src\components\MaterialsManager\MaterialsManager.module.css", "PostCSS", 0, 0, 0, 0, 76, 0, 0, 0, 0, 1, 11, 88
"d:\work2026\floor\src\components\Modal\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 3, 23
"d:\work2026\floor\src\components\Modal\Modal.module.css", "PostCSS", 0, 0, 0, 0, 82, 0, 0, 0, 0, 3, 10, 95
"d:\work2026\floor\src\components\NewCompanyTablePage\BelvistaTablesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 233, 0, 0, 27, 28, 288
"d:\work2026\floor\src\components\NewCompanyTablePage\NewCompanyTableDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 290, 0, 0, 7, 32, 329
"d:\work2026\floor\src\components\NewCompanyTablePage\NewCompanyTableDetails.module.css", "PostCSS", 0, 0, 0, 0, 173, 0, 0, 0, 0, 2, 34, 209
"d:\work2026\floor\src\components\NewCompanyTablePage\NewCompanyTablePage.module.css", "PostCSS", 0, 0, 0, 0, 180, 0, 0, 0, 0, 11, 26, 217
"d:\work2026\floor\src\components\NewCompanyTablePage\NewInvoiceForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 13, 121
"d:\work2026\floor\src\components\NewCompanyTablePage\NewInvoiceForm.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\work2026\floor\src\components\PeopleList\PeopleList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 151, 0, 0, 1, 10, 162
"d:\work2026\floor\src\components\PeopleList\PeopleList.module.css", "PostCSS", 0, 0, 0, 0, 141, 0, 0, 0, 0, 3, 23, 167
"d:\work2026\floor\src\components\PeopleSection\PeopleSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 20, 186
"d:\work2026\floor\src\components\PeopleSection\PeopleSection.module.css", "PostCSS", 0, 0, 0, 0, 107, 0, 0, 0, 0, 2, 18, 127
"d:\work2026\floor\src\components\PersonDetailsModal\PersonDetailsModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 140, 0, 0, 3, 16, 159
"d:\work2026\floor\src\components\PersonDetailsModal\PersonDetailsModal.module.css", "PostCSS", 0, 0, 0, 0, 161, 0, 0, 0, 0, 1, 26, 188
"d:\work2026\floor\src\components\PersonPicker\PersonPicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 111, 0, 0, 1, 13, 125
"d:\work2026\floor\src\components\PersonPicker\PersonPicker.module.css", "PostCSS", 0, 0, 0, 0, 119, 0, 0, 0, 0, 1, 14, 134
"d:\work2026\floor\src\components\PersonStats\PersonStats.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 4, 39
"d:\work2026\floor\src\components\PersonStats\PersonStats.module.css", "PostCSS", 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 11, 68
"d:\work2026\floor\src\components\PhotoUploader\PhotoUploader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 0, 3, 18, 121
"d:\work2026\floor\src\components\PhotoUploader\PhotoUploader.module.css", "PostCSS", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 9, 73
"d:\work2026\floor\src\components\ProtectedRoute\AdminRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 4, 7, 40
"d:\work2026\floor\src\components\ReminderPanel\ReminderPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 129, 0, 0, 3, 16, 148
"d:\work2026\floor\src\components\ReminderPanel\ReminderPanel.module.css", "PostCSS", 0, 0, 0, 0, 178, 0, 0, 0, 0, 5, 26, 209
"d:\work2026\floor\src\components\SearchTables\SearchTables.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
