Date : 2026-08-23 08:27:08
Directory : d:\work2026\floor
Total : 144 files,  23518 codes, 491 comments, 2200 blanks, all 26209 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         68 |     10,259 |        316 |      1,094 |     11,669 |
| PostCSS        |         56 |      6,913 |        161 |      1,032 |      8,106 |
| JSON           |          6 |      5,932 |          0 |          5 |      5,937 |
| TypeScript     |          2 |        176 |          1 |         29 |        206 |
| JavaScript     |          6 |        165 |         13 |         35 |        213 |
| SVG            |          3 |         46 |          0 |          0 |         46 |
| HTML           |          1 |         19 |          0 |          1 |         20 |
| Markdown       |          1 |          5 |          0 |          4 |          9 |
| Dotenv         |          1 |          3 |          0 |          0 |          3 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        144 |     23,518 |        491 |      2,200 |     26,209 |
| . (Files)                                                                              |         10 |      6,100 |         11 |         37 |      6,148 |
| public                                                                                 |          3 |         46 |          0 |          0 |         46 |
| src                                                                                    |        126 |     17,186 |        479 |      2,132 |     19,797 |
| src (Files)                                                                            |          2 |         18 |          1 |          7 |         26 |
| src\Pages                                                                              |         33 |      9,181 |        136 |        991 |     10,308 |
| src\components                                                                         |         76 |      7,232 |        264 |        990 |      8,486 |
| src\components\AddCompanyForm                                                          |          1 |         67 |          1 |         12 |         80 |
| src\components\AddressFilter                                                           |          2 |         71 |          1 |         10 |         82 |
| src\components\AddressHistory                                                          |          2 |         50 |         54 |         10 |        114 |
| src\components\AddressSection                                                          |          2 |         48 |          0 |          9 |         57 |
| src\components\AdminListManager                                                        |          2 |        166 |          3 |         24 |        193 |
| src\components\App                                                                     |          2 |        485 |         15 |         46 |        546 |
| src\components\AutocompleteInput                                                       |          2 |        144 |          1 |         20 |        165 |
| src\components\CompanyList                                                             |          2 |        183 |          2 |         20 |        205 |
| src\components\CompanySection                                                          |          1 |         18 |          0 |          4 |         22 |
| src\components\CreateCompanyForm                                                       |          2 |        105 |          2 |         16 |        123 |
| src\components\CreatePersonForm                                                        |          2 |         86 |          4 |         16 |        106 |
| src\components\CreateTableForm                                                         |          2 |         32 |          0 |          6 |         38 |
| src\components\EmptyState                                                              |          2 |         29 |          2 |          6 |         37 |
| src\components\FileUpload                                                              |          2 |         66 |          5 |         14 |         85 |
| src\components\Header                                                                  |          2 |        714 |         18 |        100 |        832 |
| src\components\InvoiceDetailsModal                                                     |          2 |         79 |          2 |         14 |         95 |
| src\components\InvoiceList                                                             |          2 |         30 |         30 |          9 |         69 |
| src\components\LoginModal                                                              |          2 |        160 |          4 |         26 |        190 |
| src\components\MaterialsManager                                                        |          2 |        203 |          2 |         28 |        233 |
| src\components\Modal                                                                   |          2 |        101 |          4 |         13 |        118 |
| src\components\NewCompanyTablePage                                                     |          6 |        984 |         47 |        134 |      1,165 |
| src\components\PeopleList                                                              |          2 |        292 |          4 |         33 |        329 |
| src\components\PeopleSection                                                           |          2 |        273 |          2 |         38 |        313 |
| src\components\PersonDetailsModal                                                      |          2 |        301 |          4 |         42 |        347 |
| src\components\PersonPicker                                                            |          2 |        230 |          2 |         27 |        259 |
| src\components\PersonStats                                                             |          2 |         90 |          2 |         15 |        107 |
| src\components\PhotoUploader                                                           |          2 |        164 |          3 |         27 |        194 |
| src\components\ProtectedRoute                                                          |          1 |         29 |          4 |          7 |         40 |
| src\components\ReminderPanel                                                           |          2 |        307 |          8 |         42 |        357 |
| src\components\SearchTables                                                            |          1 |          0 |          0 |          1 |          1 |
| src\components\SkeletonLoader                                                          |          2 |         57 |          2 |         10 |         69 |
| src\components\StaticCompanyInfo                                                       |          2 |         14 |          1 |          3 |         18 |
| src\components\StatsCard                                                               |          2 |        226 |          3 |         28 |        257 |
| src\components\StatsPanel                                                              |          2 |         70 |          2 |          6 |         78 |
| src\components\ThemeToggleButton                                                       |          2 |         32 |          2 |          5 |         39 |
| src\components\WorkOrdersManager                                                       |          2 |        313 |          1 |         37 |        351 |
| src\components\WorkTypesManager                                                        |          2 |        376 |          8 |         50 |        434 |
| src\components\WorkerProfileModal                                                      |          2 |        637 |         19 |         82 |        738 |
| src\contexts                                                                           |          2 |        110 |          4 |         23 |        137 |
| src\hooks                                                                              |          5 |        212 |          8 |         39 |        259 |
| src\layouts                                                                            |          2 |         60 |          4 |          9 |         73 |
| src\services                                                                           |          2 |        250 |         52 |         52 |        354 |
| src\styles                                                                             |          2 |         97 |          8 |         15 |        120 |
| src\utils                                                                              |          2 |         26 |          2 |          6 |         34 |
| supabase                                                                               |          5 |        186 |          1 |         31 |        218 |
| supabase\.temp                                                                         |          1 |          1 |          0 |          0 |          1 |
| supabase\functions                                                                     |          4 |        185 |          1 |         31 |        217 |
| supabase\functions\scan-work-order                                                     |          2 |        107 |          1 |         11 |        119 |
| supabase\functions\send-whatsapp-notification                                          |          2 |         78 |          0 |         20 |         98 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                               | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\work2026\floor\.env                                                                 | Dotenv         |          3 |          0 |          0 |          3 |
| d:\work2026\floor\.eslintrc.cjs                                                        | JavaScript     |         21 |          0 |          1 |         22 |
| d:\work2026\floor\README.md                                                            | Markdown       |          5 |          0 |          4 |          9 |
| d:\work2026\floor\createWorkerAccounts.js                                              | JavaScript     |        101 |         10 |         22 |        133 |
| d:\work2026\floor\index.css                                                            | PostCSS        |         21 |          0 |          4 |         25 |
| d:\work2026\floor\index.html                                                           | HTML           |         19 |          0 |          1 |         20 |
| d:\work2026\floor\package-lock.json                                                    | JSON           |      5,878 |          0 |          1 |      5,879 |
| d:\work2026\floor\package.json                                                         | JSON           |         41 |          0 |          1 |         42 |
| d:\work2026\floor\public\Flooring.Boss.svg                                             | SVG            |          1 |          0 |          0 |          1 |
| d:\work2026\floor\public\Flooring.Boss3.svg                                            | SVG            |          1 |          0 |          0 |          1 |
| d:\work2026\floor\public\untitled.svg                                                  | SVG            |         44 |          0 |          0 |         44 |
| d:\work2026\floor\src\Pages\AddressDetailsPage.jsx                                     | JavaScript JSX |      1,097 |         18 |         71 |      1,186 |
| d:\work2026\floor\src\Pages\AddressDetailsPage.module.css                              | PostCSS        |        427 |          8 |         57 |        492 |
| d:\work2026\floor\src\Pages\AddressListPage.jsx                                        | JavaScript JSX |        880 |          2 |         78 |        960 |
| d:\work2026\floor\src\Pages\AddressListPage.module.css                                 | PostCSS        |        298 |          9 |         47 |        354 |
| d:\work2026\floor\src\Pages\AdminPage.jsx                                              | JavaScript JSX |         96 |          6 |          8 |        110 |
| d:\work2026\floor\src\Pages\AdminPage.module.css                                       | PostCSS        |        145 |          4 |         29 |        178 |
| d:\work2026\floor\src\Pages\CalendarPage.jsx                                           | JavaScript JSX |        470 |          2 |         52 |        524 |
| d:\work2026\floor\src\Pages\CalendarPage.module.css                                    | PostCSS        |        390 |         21 |         62 |        473 |
| d:\work2026\floor\src\Pages\CompanyListPage.jsx                                        | JavaScript JSX |         89 |          0 |         10 |         99 |
| d:\work2026\floor\src\Pages\CompanyListPage.module.css                                 | PostCSS        |         49 |          1 |          7 |         57 |
| d:\work2026\floor\src\Pages\CompanyTablesPage.jsx                                      | JavaScript JSX |        185 |          1 |         20 |        206 |
| d:\work2026\floor\src\Pages\CompanyTablesPage.module.css                               | PostCSS        |        150 |          1 |         14 |        165 |
| d:\work2026\floor\src\Pages\DashboardPage.jsx                                          | JavaScript JSX |        111 |          1 |          9 |        121 |
| d:\work2026\floor\src\Pages\DashboardPage.module.css                                   | PostCSS        |         55 |          5 |         11 |         71 |
| d:\work2026\floor\src\Pages\InactiveCompaniesPage.jsx                                  | JavaScript JSX |         65 |          1 |          9 |         75 |
| d:\work2026\floor\src\Pages\InactiveWorkersPage.jsx                                    | JavaScript JSX |         84 |          0 |          9 |         93 |
| d:\work2026\floor\src\Pages\InactiveWorkersPage.module.css                             | PostCSS        |         64 |          2 |         10 |         76 |
| d:\work2026\floor\src\Pages\LoginPage.jsx                                              | JavaScript JSX |        146 |          3 |         17 |        166 |
| d:\work2026\floor\src\Pages\LoginPage.module.css                                       | PostCSS        |         79 |          0 |         13 |         92 |
| d:\work2026\floor\src\Pages\PersonPage.jsx                                             | JavaScript JSX |        212 |          2 |         20 |        234 |
| d:\work2026\floor\src\Pages\PersonPage.module.css                                      | PostCSS        |        197 |          2 |         26 |        225 |
| d:\work2026\floor\src\Pages\PersonTableDetailsPage.jsx                                 | JavaScript JSX |        502 |          8 |         42 |        552 |
| d:\work2026\floor\src\Pages\PersonTableDetailsPage.module.css                          | PostCSS        |        253 |          5 |         28 |        286 |
| d:\work2026\floor\src\Pages\RegisterPage.jsx                                           | JavaScript JSX |        185 |          1 |         12 |        198 |
| d:\work2026\floor\src\Pages\StoreInvoiceDetailsPage.jsx                                | JavaScript JSX |        347 |          8 |         37 |        392 |
| d:\work2026\floor\src\Pages\StoreInvoiceDetailsPage.module.css                         | PostCSS        |        197 |          2 |         30 |        229 |
| d:\work2026\floor\src\Pages\StoreInvoicesListPage.jsx                                  | JavaScript JSX |         77 |          0 |          8 |         85 |
| d:\work2026\floor\src\Pages\StoreInvoicesListPage.module.css                           | PostCSS        |         88 |          0 |         13 |        101 |
| d:\work2026\floor\src\Pages\TableDetailsPage.jsx                                       | JavaScript JSX |        329 |          1 |         26 |        356 |
| d:\work2026\floor\src\Pages\TableDetailsPage.module.css                                | PostCSS        |        129 |          2 |         22 |        153 |
| d:\work2026\floor\src\Pages\TablePage.module.css                                       | PostCSS        |         88 |          0 |         12 |        100 |
| d:\work2026\floor\src\Pages\WorkerPortal.jsx                                           | JavaScript JSX |        973 |          3 |         83 |      1,059 |
| d:\work2026\floor\src\Pages\WorkerPortal.module.css                                    | PostCSS        |        724 |         17 |         99 |        840 |
| d:\work2026\floor\src\components\AddCompanyForm\AddCompanyForm.jsx                     | JavaScript JSX |         67 |          1 |         12 |         80 |
| d:\work2026\floor\src\components\AddressFilter\AddressFilter.jsx                       | JavaScript JSX |         37 |          0 |          5 |         42 |
| d:\work2026\floor\src\components\AddressFilter\AddressFilter.module.css                | PostCSS        |         34 |          1 |          5 |         40 |
| d:\work2026\floor\src\components\AddressHistory\AddressHistory.jsx                     | JavaScript JSX |         11 |         54 |          4 |         69 |
| d:\work2026\floor\src\components\AddressHistory\AddressHistory.module.css              | PostCSS        |         39 |          0 |          6 |         45 |
| d:\work2026\floor\src\components\AddressSection\AddressSection.jsx                     | JavaScript JSX |         18 |          0 |          4 |         22 |
| d:\work2026\floor\src\components\AddressSection\AddressSection.module.css              | PostCSS        |         30 |          0 |          5 |         35 |
| d:\work2026\floor\src\components\AdminListManager\AdminListManager.jsx                 | JavaScript JSX |         96 |          0 |         13 |        109 |
| d:\work2026\floor\src\components\AdminListManager\AdminListManager.module.css          | PostCSS        |         70 |          3 |         11 |         84 |
| d:\work2026\floor\src\components\App\App.jsx                                           | JavaScript JSX |        245 |          7 |         10 |        262 |
| d:\work2026\floor\src\components\App\App.module.css                                    | PostCSS        |        240 |          8 |         36 |        284 |
